es,ja
que,何
de,から
no,いいえ
a,に
la,NS
el,NS
es,それがあります
y,Y
en,オン
lo,それ
un,NS
por,にとって
qué,何
me,NS
una,NS
te,お茶
los,NS
se,知っている
con,と
para,そうするには
mi,自分
está,は
si,はい
bien,良い
pero,しかし
yo,自分
eso,それ
las,NS
sí,はい
su,これは
tu,君
aquí,ここ
del,の
al,へ
como,何
le,君
más,もっと
esto,これ
ya,すでに
todo,すべての
esta,は
vamos,行く
muy,非常に
hay,がある
ahora,今
algo,なにか
estoy,午前
tengo,持ってる
nos,我ら
tú,あなたの
nada,なし
cuando,いつ
ha,彼が持っています
este,これ
sé,彼
estás,それは
así,それで
puedo,5月リットル
cómo,なので
quiero,が欲しいです
sólo,1人
soy,午前
tiene,もっている
gracias,ありがとうございました
o,また
él,彼
bueno,良い
fue,そうだった
ser,することが
hacer,作る
son,それは
todos,皆
era,そうだった
eres,それは
vez,時間
tienes,あなたが持っている
creo,信じる
ella,彼女
he,NS
ese,それ
voy,行く
puede,五月
sabes,ほら
hola,こんにちは
sus,彼らの
porque,なぜなら
dios,神様
quién,WHO
nunca,一度もない
dónde,どこ
quieres,あなたが欲しいです
casa,家
favor,好意
esa,それ
dos,2
tan,それで
señor,ミスター
tiempo,天気
verdad,NS
estaba,Iました
mejor,一番
están,それはそうです
va,彼
hombre,男
usted,君
mucho,たくさんの
hace,NS
entonces,それから
siento,I感触
tenemos,持ってる
puedes,あなたはできる
ahí,そこの
ti,君
vida,一生
ver,見る
alguien,誰か
sr,氏
hasta,それまで
sin,それなし
mí,ぼくの
solo,それだけ
años,年
sobre,オン
decir,いう
uno,一
siempre,永遠に
oh,おー
ir,トーゴ
cosas,もの
también,また
antes,前
has,君
ni,ない
mis,ぼくの
día,日
estar,することが
estamos,そうだった
noche,夜
nadie,誰も
otra,他の
quiere,欲求
parece,そうみたいです
nosotros,私たち
poco,少し
padre,お父さん
trabajo,仕事
gente,人
mira,見る
vas,あなたが行く
sea,NS
les,彼ら
donde,どこ
mismo,同じ
hecho,終わり
ellos,彼ら
dijo,彼は言った
pasa,たまたま
dinero,お金
hijo,子
tal,そのような
otro,他の
hablar,話す
seguro,保険
claro,もちろん
estas,それは
lugar,場所
mundo,世界
amigo,友人
espera,待っている
mierda,うんこ
han,彼らは持っている
tus,あなたの
sabe,知っています
después,後で
momento,一瞬
desde,以来
fuera,外
cosa,もの
tipo,親切
mañana,朝
podemos,私たちはできる
dije,私は言いました
gran,大きい
necesito,必要に応じて
estado,調子
podría,そうかもしれない
acuerdo,合意
papá,父親
tener,持つため
dice,彼は言い​​ます
mío,自分の
crees,考える
buena,良い
gusta,お気に入り
nuestro,私たちの
nuevo,新着
será,なります
haciendo,やっ
días,日々
nombre,名前
buen,良い
había,ありました
ven,来て
tres,三つ
menos,以下
debe,したほうがいい
tenía,私が持っていました
mal,違う
conmigo,私と一緒に
madre,母親
hoy,今日
quien,WHO
sido,その間
mamá,ママ
tienen,持ってる
luego,すぐ
todas,全て
allí,そこの
toda,全て
hora,時間
mujer,女性
visto,見ます
haces,あなたがやる
importa,事項
contigo,あなたと
ve,行く
tarde,遅い
oye,おい
parte,部
haber,持つため
hombres,男性用
problema,問題
mas,もっと
saber,知っています
quería,欲しいです
aún,まだ
veces,回
nuestra,私たちの
hacerlo,やれ
cada,各
hizo,製
veo,そうですか
tanto,そんなに
razón,理由
ustedes,あなたの
idea,考え
esos,それらの
van,行く
quizá,多分
debo,私はしなければならない
alguna,いくつか
cierto,特定
ud,君
muerto,死
unos,いくつか
estos,これらは
salir,離れる
policía,警官
realmente,本当
demasiado,それも
familia,家族
pueden,彼らは〜できます
cabeza,頭
hemos,我々は持っています
amigos,友達
chica,女の子
cariño,親愛な
lado,側
allá,そこの
entre,お入りください
minutos,分
digo,いう
algún,いくつか
serio,私は笑った
cuidado,気をつけろ
pasó,彼は合格しました
buenas,良い
somos,それは
amor,愛
puerta,ドア
ves,分かりますか
vaya,わお
ah,ああ
suerte,ラッキー
eh,おい
rápido,素早い
cuenta,アカウント
quizás,多分
esas,それらの
pues,良い
pasado,過去
pensé,Iの考え
todavía,まだ
hermano,兄弟
debes,絶対です
casi,ほとんど
forma,形
aqui,ここ
chico,男
ok,わかった
dicho,格言
nueva,新着
sabía,私が知っていました
muchas,たくさんの
dentro,以内に
hice,やった
contra,に対して
auto,車
camino,道
ayuda,ヘルプ
primera,最初
hacia,向かって
vi,鋸
miedo,恐れ
adiós,さようなら
primero,初め
debería,そうすべき
poder,できる
niños,子供たち
sería,NS
historia,物語
hey,おい
mientras,その間
ciudad,街
dijiste,言った
espero,私は願います
cuánto,いくら
esposa,妻
pronto,早い
chicos,少年たち
cualquier,どれか
viejo,年
debemos,我々はしなければならない
deja,させて
año,年
muerte,死
hablando,語り
manos,手
da,提供します
loco,狂った
problemas,問題
mano,手
guerra,戦争
semana,週
pasar,合格
vale,わかった
